student_id,question_id,bundle_id,tags,elapsed_time,correct
1,7,7,11;7;179;183,26000,1.0
1,7,7,11;7;179;183,37000,0.0
1,10,10,17;7;182,28000,0.0
1,10,10,17;7;182,26000,0.0
1,11,11,15;2;181,42000,0.0
1,13,13,1;2;183,26000,1.0
1,29,29,4;2;183,29000,1.0
1,46,46,17;7;179;182,24000,1.0
1,56,56,15;2;179;182,229000,1.0
1,59,59,17;7;183,36000,1.0
1,59,59,17;7;183,29000,0.0
1,61,61,6;7;181,29000,1.0
1,63,63,4;2;185,25000,1.0
1,65,65,12;2;183,27000,1.0
1,73,73,5;2;179;183,26000,1.0
1,77,77,11;7;183,25000,1.0
1,104,104,6;7;181,63000,1.0
1,108,108,10;7;182,23000,1.0
1,111,111,13;2;181,34000,0.0
1,123,123,17;7;183,26000,1.0
1,131,131,19;2;181,26000,1.0
1,135,135,4;2;183,25000,0.0
1,143,143,11;7;181,24000,1.0
1,150,150,5;2;182,44000,0.0
1,150,150,5;2;182,26000,0.0
1,154,154,18;7;181,90000,1.0
1,158,158,8;2;181,27000,1.0
1,160,160,8;2;185,27000,0.0
1,171,171,9;2;184,159000,1.0
1,172,172,5;2;181,25000,0.0
1,174,174,10;7;183,26000,1.0
1,174,174,10;7;183,34000,0.0
1,176,176,6;7;183,26000,0.0
1,187,187,4;2;181,26000,1.0
1,187,187,4;2;181,31000,0.0
1,188,188,19;2;185,25000,1.0
1,200,200,51;24;26;181;185,21000,1.0
1,214,214,31;32;185;183,19000,1.0
1,237,237,23;46;47;185;181,26000,1.0
1,243,243,27;28;29;185;183,18000,1.0
1,243,243,27;28;29;185;183,21000,1.0
1,243,243,27;28;29;185;183,21000,1.0
1,243,243,27;28;29;185;183,24000,0.0
1,259,259,24;25;182;183,25000,0.0
1,265,265,24;33;182;181,18000,1.0
1,289,289,51;24;33;183;182,20000,1.0
1,289,289,51;24;33;183;182,25000,0.0
1,295,295,34;42;181;182,18000,1.0
1,316,316,31;32;184;185,19000,1.0
1,325,325,38;39;185;181,22000,1.0
1,336,336,179;28;29;184;183,20000,1.0
1,351,351,28;29;181;184,19000,1.0
1,356,356,30;34;42;181;183,23000,1.0
1,380,380,36;37;185;181,23000,1.0
1,391,391,38;39;185;183,21000,1.0
1,436,436,28;42;183;181,22000,1.0
1,467,467,27;46;47;183;184,22000,1.0
1,469,469,179;28;29;182;184,19000,1.0
1,477,477,44;45;183;181,20000,1.0
1,485,485,30;34;35;184;182,20000,0.0
1,485,485,30;34;35;184;182,21000,1.0
1,485,485,30;34;35;184;182,21000,0.0
1,485,485,30;34;35;184;182,19000,1.0
1,489,489,30;34;35;184;182,20000,0.0
1,489,489,30;34;35;184;182,20000,1.0
1,523,523,30;179;34;42;185;181,18000,1.0
1,524,524,31;32;185;181,22000,1.0
1,550,550,24;41;181;184,23000,0.0
1,550,550,24;41;181;184,23000,1.0
1,552,552,36;37;184;181,12000,1.0
1,555,555,27;36;37;181;183,22000,0.0
1,555,555,27;36;37;181;183,22000,1.0
1,555,555,27;36;37;181;183,20000,1.0
1,555,555,27;36;37;181;183,28000,0.0
1,555,555,27;36;37;181;183,31000,1.0
1,560,560,179;34;42;183;182,21000,1.0
1,561,561,38;39;182;181,22000,1.0
1,563,563,30;34;35;182;183,20000,1.0
1,572,572,30;31;32;184;181,25000,1.0
1,573,573,46;47;184;182,21000,1.0
1,577,577,179;28;29;184;181,19000,1.0
1,587,587,36;37;181;183,20000,0.0
1,591,591,28;29;183;181,23000,1.0
1,591,591,28;29;183;181,24000,0.0
1,600,600,23;24;33;184;181,21000,0.0
1,600,600,23;24;33;184;181,20000,1.0
1,600,600,23;24;33;184;181,19000,1.0
1,626,626,23;24;33;183;181,21000,1.0
1,667,667,38;37;182;181,18000,1.0
1,667,667,38;37;182;181,25000,0.0
1,667,667,38;37;182;181,18000,1.0
1,667,667,38;37;182;181,40000,0.0
1,668,668,30;24;40;183;181,19000,1.0
1,668,668,30;24;40;183;181,23000,0.0
1,668,668,30;24;40;183;181,21000,0.0
1,676,676,31;32;182;183,21000,1.0
1,698,698,30;24;25;183;182,25000,1.0
1,698,698,30;24;25;183;182,22000,0.0
1,698,698,30;24;25;183;182,24000,1.0
1,698,698,30;24;25;183;182,20000,1.0
1,703,703,38;39;184;182,23000,1.0
1,717,717,30;31;32;184;183,21000,1.0
1,717,717,30;31;32;184;183,29000,0.0
1,729,729,27;36;37;183;181,22000,1.0
1,729,729,27;36;37;183;181,23000,0.0
1,729,729,27;36;37;183;181,52000,1.0
1,729,729,27;36;37;183;181,22000,0.0
1,749,749,24;41;183;184,23000,1.0
1,749,749,24;41;183;184,20000,0.0
1,749,749,24;41;183;184,23000,1.0
1,751,751,46;47;182;181,19000,0.0
1,754,754,28;29;183;184,20000,1.0
1,754,754,28;29;183;184,21000,0.0
1,754,754,28;29;183;184,24000,1.0
